key_retro,name_last,name_first
cheeh101,Cheek,Harry
mclab103,McLaughlin,Barney
gonss001,Gonsalves,Stephen
collo102,Collier,Orlin
carmc101,Carmichael,Chet
grieb001,Grieve,Ben
bradk001,Bradish,Kyle
mcdaf101,McDaniel,Fred
gooda101,Goodwin,Art
wallj001,Wallace,Jeff
devlj101,Devlin,Jim
wendh902,Wendelstedt,Hunter
pereg101,Perez,George
browc103,Brown,Clint
winng101,Winn,George
narrj001,Narron,Jerry
greyr101,Grey,Reddy
walsj104,Walsh,Joe
bankf101,Bankhead,Fred
chilp101,Chiles,Pearce
cabro002,Cabrera,Oswaldo
humpm001,Humphreys,Mike
agosj001,Agosto,Juan
oleat001,O'Leary,Troy
goldf102,Goldthwaite,Frank
younr102,Young,Russ
wrigz102,Wright,Zollie
sommp101,Sommers,Andy
stidp001,Stidham,Phil
roben001,Robertson,Nate
cowgc001,Cowgill,Collin
diazt801,Diaz,Tony
ormec101,Orme,Clarence
roycg701,Royce,Greg
lyncd101,Lynch,Danny
wrigg103,Wright,Gene
bonnb001,Bonnell,Barry
zacht901,Zacharias,Thomas
boltc102,Bolton,Cecil
krauj101,Kraus,Jack
tsuty001,Tsutsugo,Yoshi
schnj101,Schneider,Jeff
lopea102,Lopez,Al
dalep101,Daley,Pete
david002,Davis,Doug
hardl103,Harting,Jumbo
herrj101,Herrnstein,John
adams102,Adams,Spencer
schrp102,Schreiber,Paul
waltb101,Walter,Bernie
bendc101,Bender,Charles
fultb001,Fulton,Bill
vielj801,Viele,Justin
actog001,Acton,Garrett
downs001,Downs,Scott
buenj001,Buente,Jay
robec002,Robertson,Connor
spanb101,Spanswick,Bill
mcgrm101,McGrillis,Mark
clacb101,Clack,Bobby
grasm101,Grasso,Mickey
cregp101,Cregan,Pete
bowij001,Bowie,Jim
barnb002,Barnes,Brandon
mcivo101,McIvor,Otto
boucm101,Boucher,Medric
hayev001,Hayes,Von
wallr101,Waller,Red
goarj101,Goar,Jot
landr001,Landestoy,Rafael
alfaj001,Alfaro,Jason
pered001,Perez,Danny
weavr101,Weaver,Roger
eiscj001,Eischen,Joey
clemb901,Clement,Curly
irwiw101,Irwin,Walt
tisij101,Tising,Jack
mullj101,Mulligan,Joe
wittb002,Witt,Bobby
dunbv101,Dunbar,Vet
vavrj801,Vavra,Joe
lowrj001,Lowrie,Jed
graym101,Gray,Milt
davij105,Davie,Jerry
langd102,Lang,Don
counc001,Counsell,Craig
boted002,Bote,David
dozid001,Dozier,D. J.
claip001,Claiborne,Preston
murrt101,Murray,Tony
rodrj008,Rodriguez,José
willc101,Williams,Charlie
herso001,Hershiser,Orel
hrinw101,Hriniak,Walt
mcnag102,McNaughton,Gordon
mercm101,Mercer,Mark
wildj901,Wildey,John
turns003,Turnbull,Spencer
debuj801,Debus,Jon
squim001,Squires,Mike
stegd001,Stegman,Dave
carrl101,Carr,Lew
pedra001,Pedrique,Al
shepr101,Shepardson,Ray
dennr001,Dennick,Ryan
maddf101,Madden,Frank
bartb101,Barton,Bob
riddd101,Riddlemoser,Dorsey
johnn001,Johnson,Nick
dillp102,Dillon,Packy
dankj002,Danks,Jordan
sches901,Scheurwater,Stu
kelsb101,Kelso,Bill
sprig101,Spriggs,George
martj102,Marty,Joe
winkj002,Winker,Jesse
zannd101,Zanni,Dom
tennu101,Tenny,
melik001,Melillo,Kevin
keagg001,Keagle,Greg
adamm002,Adams,Matt
grosg002,Gross,Gabe
piccu101,Piccard,
pricd001,Price,David
zaucn101,Zauchin,Norm
washj101,Washington,Jasper
lopeh101,López,Héctor
daviw103,Davis,Wiley
gutir001,Gutiérrez,Ricky
ellir801,Ellis,Ryan
davib106,Davis,Bill
woodc001,Woodward,Chris
helft101,Helfrich,Ty
murpd002,Murphy,Dwayne
tylek001,Tyler,Kyle
maveb701,Maver,Bob
harrb114,Harrison,Bob
trayk701,Traynor,Kyle
stinu101,Stinson,
wisdp001,Wisdom,Patrick
hudsk001,Hudson,Kyle
delaa101,Delaney,Art
greeg002,Green,Grant
cordm001,Cordova,Marty
charr101,Charleston,Red
marel101,Marentette,Leo
rodrr003,Rodríguez,Rosario
hoggb101,Hogg,Bill
kreir001,Kreidler,Ryan
sittb001,Sittinger,Brandyn
smitp102,Smith,Pete
cormr001,Cormier,Rheal
pennw001,Pennyfeather,Will
browt102,Brown,Tom
bolae101,Boland,Ed
marqb001,Márquez,Brailyn
schaa101,Schacht,Al
stinj001,Stinson,Josh
dunnm001,Dunne,Mike
ciprf101,Cipriani,Frank
burrj101,Burrows,John
crisd102,Criscione,Dave
morij001,Morillo,Juan
dezef901,Dezelan,Frank
laroj101,LaRose,John
crocg001,Crochet,Garrett
dunnt001,Dunn,Todd
martl003,Marte,Luis
hineb801,Hines,Ben
taylb003,Taylor,Beau
brazc001,Brazell,Craig
tracm001,Tracy,Matt
hamid101,Hamilton,Dave
montl002,Montz,Luke
burkg001,Burke,Greg
frymw101,Fryman,Woodie
garcj005,García,Jason
plymj001,Plympton,Jeff
brica001,Brice,Austin
tsenj001,Tseng,Jen-Ho
browg102,Browne,George
portu901,Porter,Charles
depaj002,De Paula,Jorge
martd001,Martínez,Dennis
davim005,Davidson,Matt
rossh101,Ross,Howard
campb102,Campbell,Bruce
palld901,Pallone,Dave
millb112,Miller,Bill
odeak101,O'Dea,Ken
napol101,Napoleon,Larry
whisc001,Whisenhunt,Carson
naglj101,Nagle,Judge
may-t001,May,Trevor
biagg801,Biagini,Greg
estrj002,Estrada,Jeremiah
oroum101,O'Rourke,Mike
freds001,Fredrickson,Scott
lives901,Livensparger,Shane
whitc106,White,Clifford
peguc001,Peguero,Carlos
purno101,Purner,Oscar
ortej001,Ortega,José
davik003,Davis,Khris
watkp001,Watkins,Pat
gracm101,Grace,Mike
tompc101,Tompkins,Chuck
mapec101,Mapes,Cliff
shels101,Shelton,Skeeter
turbg101,Turbeville,George
mccuj101,McCurine,Jim
pritw101,Pritchett,Wilbert
lamaj102,LaMarque,Jim
manst101,Mansell,Tom
gregf101,Gregory,Frank
scheg901,Scheu,Gus
rizzj101,Rizzo,Johnny
marmc001,Marmól,Carlos
mahlr001,Mahler,Rick
sadlc001,Sadler,Carl
colea002,Cole,A. J.
marrd001,Marrero,Deven
waldm003,Waldron,Matt
brucl101,Bruce,Lou
priee001,Priest,Eddie
mcfag101,McFadden,Guy
garcg002,Garcia,Greg
lougu101,O'Loughlin,Patrick
walsj103,Walsh,Joe
batik001,Batiste,Kevin
britj104,Britton,John
siasg101,Sias,George
moscr101,Moschitto,Ross
fritb801,Fritz,Ben
drauj101,Drauby,Jake
marte001,Martínez,Edgar
cabrl101,Cabrera,Luis
drisj901,Driscoll,Joe
reyna001,Reynoso,Armando
rosez101,Rosebraugh,Rosie
campk002,Campbell,Kristian
rodre004,Rodríguez,Eduardo
theor101,Theobald,Ron
richc001,Richard,Chris
tates001,Tate,Stu
bankw002,Bankston,Wes
woodc101,Woods,Clarence
suskp101,Susko,Pete
goodb101,Goodman,Billy
wilss002,Wilson,Steven
hoakd101,Hoak,Don
missj102,Missouri,Jim
burnh101,Burnett,Hercules
conwe101,Conwell,Ed
firod001,Firova,Dan
browp103,Browne,Pidge
roseb901,Rosenberry,Bill
perej104,Pereira,José
rothb102,Roth,Braggo
bailf101,Bailey,Fred
myerb104,Myers,Bill
foppj001,Foppert,Jesse
willa003,Williams,Austen
goodw101,Good,Wilbur
aberr001,Abercrombie,Reggie
maddm001,Madden,Mike
tavew001,Taveras,Willy
grayj003,Gray,Jon
sched101,Schesler,Dutch
dallp101,Dallas,Porter
parmi001,Parmley,Ian
jordb001,Jordan,Brian
lestj002,Lester,Josh
piezs101,Piez,Sandy
tingr001,Tingley,Ron
hensc001,Hensley,Chuck
millc102,Miller,Charlie
bedrc001,Bedrosian,Cam
billc001,Billingsley,Chad
huffg801,Huff,George
spenb101,Spencer,Ben
millc101,Miller,Chuck
mccom102,McCormick,Mike
stews001,Stewart,Sammy
younm101,Young,Maurice
fordg102,Ford,Gene
younc103,Young,Charlie
crisr901,Christal,Randy
steem101,Steevens,Morrie
couss001,Cousins,Scott
reddu101,Redd,Ulysses
sancr102,Sánchez,Raúl
trubc001,Truby,Chris
boehg101,Boehler,George
higbr101,Higbee,Robert
lyont103,Lyons,Terry
laket001,Laker,Tim
scotj107,Scott,Joe
rutsa001,Rutschman,Adley
campc102,Camper,Cardell
mesod001,Mesoraco,Devin
thomt002,Thompson,Trayce
bonib001,Bonilla,Bobby
mandc101,Manda,Carl
denmb101,Denman,Brian
oleac101,O'Leary,Charley
paulg101,Paulsen,Gil
munod001,Muno,Daniel
jenkh102,Jenkins,Honey
broos101,Brooks,Sidney
seanr001,Seánez,Rudy
harrn101,Harris,Ned
walke103,Walker,Edsall
cartb102,Carter,Bill
chaph101,Chappas,Harry
harks101,Harkness,Spec
silvc001,Silva,Carlos
cotee901,Cote,Emilien
thomb106,Thompson,Bobby
holmc001,Holmes,Clay
edmop101,Edmondson,Paul
tomeg101,Tomer,George
barnf103,Barnes,Fred
jevnf901,Jevne,Fred
may-c101,May,Carlos
wilhs101,Wilhelm,Spider
rossj001,Rosselli,Joe
mallj102,Mallonee,Jule
ellim001,Ellis,Mark
zeidr101,Zeider,Rollie
puelc001,Puello,César
harrw101,Harris,Wilmer
toddj101,Todd,Jackson
battr101,Battle,Rufus
uhalf101,Uhalt,Frenchy
eastp101,Easterling,Paul
meadj101,Meador,Johnny
manzk001,Manzardo,Kyle
gravb101,Graves,Bob
demud901,DeMuth,Dana
grifp102,Griffin,Pat
nicer101,Nicely,Roy
malit101,Malinosky,Tony
browk002,Brown,Keith
jumog101,Jumonville,George
peplh101,Peploski,Henry
ramsl001,Ramsey,Lane
auder001,Aude,Rich
hillp102,Hill,Pete
pfirc901,Pfirman,Cy
taylf101,Taylor,Fred
judga001,Judge,Aaron
kerlo101,Kerlin,Orie
gomel001,Gómez,Leo
gileb001,Giles,Brian
twomg101,Twombly,George
hilll101,Hill,Lee
sutcb101,Sutcliffe,Butch
lahtj001,Lahti,Jeff
taylj102,Taylor,Jack
